From Task Id*;To Task Id*;Type*;Lag
A1070;A1080;FS;0
A1070;A1090;FS;0
A1070;A1100;FS;0
A1070;A1110;FS;0
A1070;A1120;FS;0
A1110;A1140;FS;0
A1110;A1150;FS;0
A1170;A1180;FS;0
A1170;A1190;FS;0
A1190;A1200;FS;0
A1200;A1270;FS;0
A1210;A1220;FS;0
A1220;A1230;FS;0
A1230;A1250;FS;0
A1240;A1350;FS;0
A1250;A1260;FS;0
A1260;A1240;FS;0
A1270;A1210;FS;0
A1330;A1420;FS;0
A1340;A1330;FS;0
A1340;A1420;FS;0
A1350;A1340;FS;0
A1420;A1600;FS;0
A1590;A1610;FS;0
A1590;A1670;FS;0
A1590;A1680;FS;0
A1590;A1690;FS;0
A1590;A1740;FS;0
A1600;A1590;FS;0
A1680;A1690;FS;0
A1740;A1760;FS;0
A1760;A1820;FS;0
A1760;A1860;FS;0
A1820;A1830;FS;0
A1830;A1840;FS;0
A1840;A1880;FS;0
