ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot,source_schedule,Assembly Code,Assembly Description,Depth,Type Comments,Base Level,Top Level,Base Offset,Top Offset,takt_id
1075275,Air Terminals,PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted,"24"" x 12""",L 1,,Mechanical Return Air 1,Return Air,,,"24""x12""",,"1' - 0""",,"2' - 0""",,0.26 CF,,,,,,0 m³/h,0 m³/h,,,,,,,,,1.0,,,,24.25,12.25,Point,1.36,225.224,24.333,,,,,,,90.0,0.243,224.224,23.716,2.477,226.147,24.951,1.36,225.185,24.333,,"Core Length=2' - 0 29/32"" | Core Width=1' - 0 29/32"" | Flow=0 m³/h | Frame Length=2' - 1 3/4"" | Frame Thickness=0' - 0 1/2"" | Frame Width=1' - 1 3/4"" | Length=2' - 0"" | Nominal Length=2' - 0"" | Nominal Size=24"" x 12"" | Nominal Width=1' - 0"" | Opening Length=2' - 0 1/4"" | Opening Width=1' - 0 1/4"" | Outer Frame Length=2' - 2 13/16"" | Outer Frame Width=1' - 2 13/16"" | Price-Design Airflow=0 m³/h | Price-Face Size=26 13/16"" x 14 13/16"" | Price-Material=STEEL | Price-Total Pressure=0.00 in-wg | Show Airflow Arrow=True | Size=24""x12"" | Size Index=29 | Volume=0.26 CF | Width=1' - 0""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_V4_2026-04-08_11-47-28am_detached_MEP_TakeOff.csv,,,,,,,,,
1075438,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Return Air 1,Return Air,,,"24""x12""",,"24""","12""","0' - 8""",4 SF,,,,,"0""","0""",0 m³/h,0 m³/h,0.00 in-wg,,,,,,,,2.0,,,,24.25,12.25,Curve,1.36,225.557,24.333,1.36,225.224,24.333,1.36,225.89,24.333,,0.35,225.224,23.823,2.371,225.89,24.844,1.36,225.557,24.333,,"Additional Flow=0 m³/h | Area=4 SF | Flow=0 m³/h | Free Size=24 1/4""x12 1/4"" | Height=12"" | Hydraulic Diameter=16"" | Insulation Thickness=0"" | Length=0' - 8"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=8' - 9 7/8"" | Lower End Top of Insulation Elevation=9' - 10 1/8"" | Overall Size=24 1/4""x12 1/4"" | Pressure Drop=0.00 in-wg | Size=24""x12"" | Size Lock=False | Upper End Bottom of Insulation Elevation=8' - 9 7/8"" | Upper End Top of Insulation Elevation=9' - 10 1/8"" | Velocity Pressure=0.00 in-wg | Width=24""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_V4_2026-04-08_11-47-28am_detached_MEP_TakeOff.csv,,,,,,,,,
1075531,Air Terminals,PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted,"24"" x 12""",L 1,,Mechanical Return Air 2,Return Air,,,"24""x12""",,"1' - 0""",,"2' - 0""",,0.26 CF,,,,,,0 m³/h,0 m³/h,,,,,,,,,1.0,,,,24.25,12.25,Point,12.312,225.224,24.333,,,,,,,90.0,11.194,224.224,23.716,13.429,226.147,24.951,12.312,225.185,24.333,,"Core Length=2' - 0 29/32"" | Core Width=1' - 0 29/32"" | Flow=0 m³/h | Frame Length=2' - 1 3/4"" | Frame Thickness=0' - 0 1/2"" | Frame Width=1' - 1 3/4"" | Length=2' - 0"" | Nominal Length=2' - 0"" | Nominal Size=24"" x 12"" | Nominal Width=1' - 0"" | Opening Length=2' - 0 1/4"" | Opening Width=1' - 0 1/4"" | Outer Frame Length=2' - 2 13/16"" | Outer Frame Width=1' - 2 13/16"" | Price-Design Airflow=0 m³/h | Price-Face Size=26 13/16"" x 14 13/16"" | Price-Material=STEEL | Price-Total Pressure=0.00 in-wg | Show Airflow Arrow=True | Size=24""x12"" | Size Index=29 | Volume=0.26 CF | Width=1' - 0""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_V4_2026-04-08_11-47-28am_detached_MEP_TakeOff.csv,,,,,,,,,
1075659,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Return Air 2,Return Air,,,"24""x12""",,"24""","12""","0' - 8""",4 SF,,,,,"0""","0""",0 m³/h,0 m³/h,0.00 in-wg,,,,,,,,2.0,,,,24.25,12.25,Curve,12.312,225.557,24.333,12.312,225.224,24.333,12.312,225.89,24.333,,11.301,225.224,23.823,13.322,225.89,24.844,12.312,225.557,24.333,,"Additional Flow=0 m³/h | Area=4 SF | Flow=0 m³/h | Free Size=24 1/4""x12 1/4"" | Height=12"" | Hydraulic Diameter=16"" | Insulation Thickness=0"" | Length=0' - 8"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=8' - 9 7/8"" | Lower End Top of Insulation Elevation=9' - 10 1/8"" | Overall Size=24 1/4""x12 1/4"" | Pressure Drop=0.00 in-wg | Size=24""x12"" | Size Lock=False | Upper End Bottom of Insulation Elevation=8' - 9 7/8"" | Upper End Top of Insulation Elevation=9' - 10 1/8"" | Velocity Pressure=0.00 in-wg | Width=24""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_V4_2026-04-08_11-47-28am_detached_MEP_TakeOff.csv,,,,,,,,,
1075678,Air Terminals,PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted,"24"" x 12""",L 1,,Mechanical Return Air 3,Return Air,,,"24""x12""",,"1' - 0""",,"2' - 0""",,0.26 CF,,,,,,0 m³/h,0 m³/h,,,,,,,,,1.0,,,,24.25,12.25,Point,21.631,225.224,24.333,,,,,,,90.0,20.514,224.224,23.716,22.749,226.147,24.951,21.631,225.185,24.333,,"Core Length=2' - 0 29/32"" | Core Width=1' - 0 29/32"" | Flow=0 m³/h | Frame Length=2' - 1 3/4"" | Frame Thickness=0' - 0 1/2"" | Frame Width=1' - 1 3/4"" | Length=2' - 0"" | Nominal Length=2' - 0"" | Nominal Size=24"" x 12"" | Nominal Width=1' - 0"" | Opening Length=2' - 0 1/4"" | Opening Width=1' - 0 1/4"" | Outer Frame Length=2' - 2 13/16"" | Outer Frame Width=1' - 2 13/16"" | Price-Design Airflow=0 m³/h | Price-Face Size=26 13/16"" x 14 13/16"" | Price-Material=STEEL | Price-Total Pressure=0.00 in-wg | Show Airflow Arrow=True | Size=24""x12"" | Size Index=29 | Volume=0.26 CF | Width=1' - 0""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_V4_2026-04-08_11-47-28am_detached_MEP_TakeOff.csv,,,,,,,,,
1075694,Air Terminals,PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted,"24"" x 12""",L 1,,Mechanical Return Air 4,Return Air,,,"24""x12""",,"1' - 0""",,"2' - 0""",,0.26 CF,,,,,,0 m³/h,0 m³/h,,,,,,,,,1.0,,,,24.25,12.25,Point,31.175,225.224,24.333,,,,,,,90.0,30.058,224.224,23.716,32.293,226.147,24.951,31.175,225.185,24.333,,"Core Length=2' - 0 29/32"" | Core Width=1' - 0 29/32"" | Flow=0 m³/h | Frame Length=2' - 1 3/4"" | Frame Thickness=0' - 0 1/2"" | Frame Width=1' - 1 3/4"" | Length=2' - 0"" | Nominal Length=2' - 0"" | Nominal Size=24"" x 12"" | Nominal Width=1' - 0"" | Opening Length=2' - 0 1/4"" | Opening Width=1' - 0 1/4"" | Outer Frame Length=2' - 2 13/16"" | Outer Frame Width=1' - 2 13/16"" | Price-Design Airflow=0 m³/h | Price-Face Size=26 13/16"" x 14 13/16"" | Price-Material=STEEL | Price-Total Pressure=0.00 in-wg | Show Airflow Arrow=True | Size=24""x12"" | Size Index=29 | Volume=0.26 CF | Width=1' - 0""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_V4_2026-04-08_11-47-28am_detached_MEP_TakeOff.csv,,,,,,,,,
1075922,Air Terminals,PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted,"24"" x 12""",L 1,,Mechanical Return Air 5,Return Air,,,"24""x12""",,"1' - 0""",,"2' - 0""",,0.26 CF,,,,,,0 m³/h,0 m³/h,,,,,,,,,1.0,,,,24.25,12.25,Point,40.824,225.224,24.333,,,,,,,90.0,39.707,224.224,23.716,41.941,226.147,24.951,40.824,225.185,24.333,,"Core Length=2' - 0 29/32"" | Core Width=1' - 0 29/32"" | Flow=0 m³/h | Frame Length=2' - 1 3/4"" | Frame Thickness=0' - 0 1/2"" | Frame Width=1' - 1 3/4"" | Length=2' - 0"" | Nominal Length=2' - 0"" | Nominal Size=24"" x 12"" | Nominal Width=1' - 0"" | Opening Length=2' - 0 1/4"" | Opening Width=1' - 0 1/4"" | Outer Frame Length=2' - 2 13/16"" | Outer Frame Width=1' - 2 13/16"" | Price-Design Airflow=0 m³/h | Price-Face Size=26 13/16"" x 14 13/16"" | Price-Material=STEEL | Price-Total Pressure=0.00 in-wg | Show Airflow Arrow=True | Size=24""x12"" | Size Index=29 | Volume=0.26 CF | Width=1' - 0""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_V4_2026-04-08_11-47-28am_detached_MEP_TakeOff.csv,,,,,,,,,
1076158,Air Terminals,PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted,"24"" x 12""",L 1,,Mechanical Return Air 6,Return Air,,,"24""x12""",,"1' - 0""",,"2' - 0""",,0.26 CF,,,,,,0 m³/h,0 m³/h,,,,,,,,,1.0,,,,24.25,12.25,Point,50.543,225.224,24.333,,,,,,,90.0,49.425,224.224,23.716,51.66,226.147,24.951,50.543,225.185,24.333,,"Core Length=2' - 0 29/32"" | Core Width=1' - 0 29/32"" | Flow=0 m³/h | Frame Length=2' - 1 3/4"" | Frame Thickness=0' - 0 1/2"" | Frame Width=1' - 1 3/4"" | Length=2' - 0"" | Nominal Length=2' - 0"" | Nominal Size=24"" x 12"" | Nominal Width=1' - 0"" | Opening Length=2' - 0 1/4"" | Opening Width=1' - 0 1/4"" | Outer Frame Length=2' - 2 13/16"" | Outer Frame Width=1' - 2 13/16"" | Price-Design Airflow=0 m³/h | Price-Face Size=26 13/16"" x 14 13/16"" | Price-Material=STEEL | Price-Total Pressure=0.00 in-wg | Show Airflow Arrow=True | Size=24""x12"" | Size Index=29 | Volume=0.26 CF | Width=1' - 0""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_V4_2026-04-08_11-47-28am_detached_MEP_TakeOff.csv,,,,,,,,,
1076478,Air Terminals,PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted,"24"" x 12""",L 1,,Mechanical Return Air 7,Return Air,,,"24""x12""",,"1' - 0""",,"2' - 0""",,0.26 CF,,,,,,0 m³/h,0 m³/h,,,,,,,,,1.0,,,,24.25,12.25,Point,60.131,225.224,24.333,,,,,,,90.0,59.013,224.224,23.716,61.248,226.147,24.951,60.131,225.185,24.333,,"Core Length=2' - 0 29/32"" | Core Width=1' - 0 29/32"" | Flow=0 m³/h | Frame Length=2' - 1 3/4"" | Frame Thickness=0' - 0 1/2"" | Frame Width=1' - 1 3/4"" | Length=2' - 0"" | Nominal Length=2' - 0"" | Nominal Size=24"" x 12"" | Nominal Width=1' - 0"" | Opening Length=2' - 0 1/4"" | Opening Width=1' - 0 1/4"" | Outer Frame Length=2' - 2 13/16"" | Outer Frame Width=1' - 2 13/16"" | Price-Design Airflow=0 m³/h | Price-Face Size=26 13/16"" x 14 13/16"" | Price-Material=STEEL | Price-Total Pressure=0.00 in-wg | Show Airflow Arrow=True | Size=24""x12"" | Size Index=29 | Volume=0.26 CF | Width=1' - 0""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_V4_2026-04-08_11-47-28am_detached_MEP_TakeOff.csv,,,,,,,,,
1076665,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Return Air 3,Return Air,,,"24""x12""",,"24""","12""","0' - 8""",4 SF,,,,,"0""","0""",0 m³/h,0 m³/h,0.00 in-wg,,,,,,,,2.0,,,,24.25,12.25,Curve,21.631,225.557,24.333,21.631,225.224,24.333,21.631,225.89,24.333,,20.621,225.224,23.823,22.642,225.89,24.844,21.631,225.557,24.333,,"Additional Flow=0 m³/h | Area=4 SF | Flow=0 m³/h | Free Size=24 1/4""x12 1/4"" | Height=12"" | Hydraulic Diameter=16"" | Insulation Thickness=0"" | Length=0' - 8"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=8' - 9 7/8"" | Lower End Top of Insulation Elevation=9' - 10 1/8"" | Overall Size=24 1/4""x12 1/4"" | Pressure Drop=0.00 in-wg | Size=24""x12"" | Size Lock=False | Upper End Bottom of Insulation Elevation=8' - 9 7/8"" | Upper End Top of Insulation Elevation=9' - 10 1/8"" | Velocity Pressure=0.00 in-wg | Width=24""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_V4_2026-04-08_11-47-28am_detached_MEP_TakeOff.csv,,,,,,,,,
