ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1241457,Floors,,"Generic - 12""",L -1,,,,,,"1' - 0""","1' - 0""",7214 SF,7213.69 CF,,,Default Floor,,,,,,BoundingBox,66.548,176.916,-15.5,,,,,,,,8.548,140.666,-16,124.548,213.166,-15,66.548,176.916,-15.5,,"Area=7214 SF | Default Thickness=1' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 12"" | Height Offset From Level=0' - 0"" | Level=L -1 | Related to Mass=False | Thickness=1' - 0"" | Type=Generic - 12"" | Type Id=Generic - 12"" | Type IfcGUID=1xZrMVYp52mhf4uMzw11Hi | Type Mark=G01 | Type Name=Generic - 12"" | Volume=7213.69 CF"
1241717,Floors,,"Concrete 6""",L 0,,,,,,"0' - 6""","0' - 6""",9737 SF,4868.34 CF,,,"Concrete, Cast-in-Place gray",,,,,,BoundingBox,66.548,198.666,-0.25,,,,,,,,8.548,140.666,-0.5,124.548,256.666,0,66.548,198.666,-0.25,,"Area=9737 SF | Default Thickness=0' - 6"" | Export Type to IFC=0 | Family and Type=Concrete 6"" | Height Offset From Level=0' - 0"" | Level=L 0 | Related to Mass=False | Structural Material=Concrete, Cast-in-Place gray | Thermal Mass=11.2658 BTU/(ft²·°F) | Thickness=0' - 6"" | Type=Concrete 6"" | Type Id=Concrete 6"" | Type IfcGUID=308Tsr$XX9nhRZUBmRm38H | Type Mark=SF01 | Type Name=Concrete 6"" | Volume=4868.34 CF"
1241762,Floors,,"Concrete 6""",L 1,,,,,,"0' - 6""","0' - 6""",9618 SF,4809.01 CF,,,"Concrete, Cast-in-Place gray",,,,,,BoundingBox,66.548,169.833,14.75,,,,,,,,-1.452,130.666,14.5,134.548,208.999,15,66.548,169.833,14.75,,"Area=9618 SF | Default Thickness=0' - 6"" | Export Type to IFC=0 | Family and Type=Concrete 6"" | Height Offset From Level=0' - 0"" | Level=L 1 | Related to Mass=False | Structural Material=Concrete, Cast-in-Place gray | Thermal Mass=11.2658 BTU/(ft²·°F) | Thickness=0' - 6"" | Type=Concrete 6"" | Type Id=Concrete 6"" | Type IfcGUID=308Tsr$XX9nhRZUBmRm38H | Type Mark=SF01 | Type Name=Concrete 6"" | Volume=4809.01 CF"
1245261,Stairs,,Stair-Metal-Plate Stringer,,,,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,L -1,L 0,"0' - 0""","0' - 0""",BoundingBox,85.738,191.125,7.62,,,,,,,,81.217,183.561,-15,90.259,198.689,30.241,85.738,191.125,7.62,,"Actual Riser Height=0' - 6 15/16"" | Actual Tread Depth=0' - 11"" | Base Level=L -1 | Base Offset=0' - 0"" | Cut Mark Type=Single Zigzag | Desired Stair Height=15' - 0"" | Export Type to IFC=0 | Family and Type=Stair-Metal-Plate Stringer | Landing Type=Non-Monolithic Landing | Left Lateral Offset=0' - 0"" | Left Support Type=Stringer - 1/4"" Plate | Maximum Riser Height=0' - 7"" | Minimum Run Width=3' - 8"" | Minimum Tread Depth=0' - 11"" | Right Lateral Offset=0' - 0"" | Right Support Type=Stringer - 1/4"" Plate | Run Type=1/4"" Tread 1"" Nosing 1/4"" Riser | Top Level=L 0 | Top Offset=0' - 0"" | Type=Stair-Metal-Plate Stringer | Type Id=Stair-Metal-Plate Stringer | Type IfcGUID=1M6gPjG8TFzfT$mOQeIU8a | Type Name=Stair-Metal-Plate Stringer"
1245290,Runs,,"1/4"" Tread 1"" Nosing 1/4"" Riser",,,,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,BoundingBox,83.238,189.222,-7.5,,,,,,,,81.238,183.668,-15,85.238,194.775,0,83.238,189.222,-7.5,,"Actual Riser Height=0' - 6 15/16"" | Actual Run Width=4' - 0"" | Actual Tread Depth=0' - 11"" | Export Type to IFC=0 | Family and Type=1/4"" Tread 1"" Nosing 1/4"" Riser | Nosing Length=0' - 1"" | Relative Base Height=0' - 0"" | Relative Top Height=7' - 6"" | Riser Material=Steel, Paint Finish, Dark Gray | Riser Thickness=0' - 0 1/4"" | Run Height=7' - 6"" | Tread Material=Steel, Paint Finish, Dark Gray | Tread Thickness=0' - 0 1/4"" | Type=1/4"" Tread 1"" Nosing 1/4"" Riser | Type Id=1/4"" Tread 1"" Nosing 1/4"" Riser | Type IfcGUID=0WjZK4gkbE_wYH2dlG59U4 | Type Name=1/4"" Tread 1"" Nosing 1/4"" Riser"
1245344,Runs,,"1/4"" Tread 1"" Nosing 1/4"" Riser",,,,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,BoundingBox,88.238,189.114,-7.5,,,,,,,,86.238,183.561,-15,90.238,194.668,0,88.238,189.114,-7.5,,"Actual Riser Height=0' - 6 15/16"" | Actual Run Width=4' - 0"" | Actual Tread Depth=0' - 11"" | Export Type to IFC=0 | Family and Type=1/4"" Tread 1"" Nosing 1/4"" Riser | Nosing Length=0' - 1"" | Relative Base Height=7' - 6"" | Relative Top Height=15' - 0"" | Riser Material=Steel, Paint Finish, Dark Gray | Riser Thickness=0' - 0 1/4"" | Run Height=7' - 6"" | Tread Material=Steel, Paint Finish, Dark Gray | Tread Thickness=0' - 0 1/4"" | Type=1/4"" Tread 1"" Nosing 1/4"" Riser | Type Id=1/4"" Tread 1"" Nosing 1/4"" Riser | Type IfcGUID=0WjZK4gkbE_wYH2dlG59U4 | Type Name=1/4"" Tread 1"" Nosing 1/4"" Riser"
1245346,Landings,,Non-Monolithic Landing,,,,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,BoundingBox,85.738,196.614,-7.5,,,,,,,,81.238,194.561,-15,90.238,198.668,0,85.738,196.614,-7.5,,"Export Type to IFC=0 | Family and Type=Non-Monolithic Landing | Relative Height=7' - 6"" | Total Thickness=0' - 0 1/4"" | Type=Non-Monolithic Landing | Type Id=Non-Monolithic Landing | Type IfcGUID=2DlOjOyRTFpQxc_0Rnt1X1 | Type Name=Non-Monolithic Landing"
1248623,Stairs,,Stair-Metal-Plate Stringer,,,,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,L -1,L 0,"0' - 0""","0' - 0""",BoundingBox,31.131,178.557,7.62,,,,,,,,23.567,174.036,-15,38.696,183.078,30.241,31.131,178.557,7.62,,"Actual Riser Height=0' - 6 15/16"" | Actual Tread Depth=0' - 11"" | Base Level=L -1 | Base Offset=0' - 0"" | Cut Mark Type=Single Zigzag | Desired Stair Height=15' - 0"" | Export Type to IFC=0 | Family and Type=Stair-Metal-Plate Stringer | Landing Type=Non-Monolithic Landing | Left Lateral Offset=0' - 0"" | Left Support Type=Stringer - 1/4"" Plate | Maximum Riser Height=0' - 7"" | Minimum Run Width=3' - 8"" | Minimum Tread Depth=0' - 11"" | Right Lateral Offset=0' - 0"" | Right Support Type=Stringer - 1/4"" Plate | Run Type=1/4"" Tread 1"" Nosing 1/4"" Riser | Top Level=L 0 | Top Offset=0' - 0"" | Type=Stair-Metal-Plate Stringer | Type Id=Stair-Metal-Plate Stringer | Type IfcGUID=1M6gPjG8TFzfT$mOQeIU8a | Type Name=Stair-Metal-Plate Stringer"
1248624,Runs,,"1/4"" Tread 1"" Nosing 1/4"" Riser",,,,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,BoundingBox,33.034,176.057,-7.5,,,,,,,,27.481,174.057,-15,38.588,178.057,0,33.034,176.057,-7.5,,"Actual Riser Height=0' - 6 15/16"" | Actual Run Width=4' - 0"" | Actual Tread Depth=0' - 11"" | Export Type to IFC=0 | Family and Type=1/4"" Tread 1"" Nosing 1/4"" Riser | Nosing Length=0' - 1"" | Relative Base Height=0' - 0"" | Relative Top Height=7' - 6"" | Riser Material=Steel, Paint Finish, Dark Gray | Riser Thickness=0' - 0 1/4"" | Run Height=7' - 6"" | Tread Material=Steel, Paint Finish, Dark Gray | Tread Thickness=0' - 0 1/4"" | Type=1/4"" Tread 1"" Nosing 1/4"" Riser | Type Id=1/4"" Tread 1"" Nosing 1/4"" Riser | Type IfcGUID=0WjZK4gkbE_wYH2dlG59U4 | Type Name=1/4"" Tread 1"" Nosing 1/4"" Riser"
1248628,Runs,,"1/4"" Tread 1"" Nosing 1/4"" Riser",,,,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,BoundingBox,33.142,181.057,-7.5,,,,,,,,27.588,179.057,-15,38.696,183.057,0,33.142,181.057,-7.5,,"Actual Riser Height=0' - 6 15/16"" | Actual Run Width=4' - 0"" | Actual Tread Depth=0' - 11"" | Export Type to IFC=0 | Family and Type=1/4"" Tread 1"" Nosing 1/4"" Riser | Nosing Length=0' - 1"" | Relative Base Height=7' - 6"" | Relative Top Height=15' - 0"" | Riser Material=Steel, Paint Finish, Dark Gray | Riser Thickness=0' - 0 1/4"" | Run Height=7' - 6"" | Tread Material=Steel, Paint Finish, Dark Gray | Tread Thickness=0' - 0 1/4"" | Type=1/4"" Tread 1"" Nosing 1/4"" Riser | Type Id=1/4"" Tread 1"" Nosing 1/4"" Riser | Type IfcGUID=0WjZK4gkbE_wYH2dlG59U4 | Type Name=1/4"" Tread 1"" Nosing 1/4"" Riser"
