ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1285676,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 1,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,123.001,185.725,15.164,,,,,,,180,122.209,184.654,16.916,123.793,186.483,18.239,123.001,185.569,17.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1285677,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 1,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,120.114,185.725,15.164,,,,,,,180,119.322,184.654,16.916,120.905,186.483,18.239,120.114,185.569,17.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1285678,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 1,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,117.424,185.725,15.164,,,,,,,180,116.632,184.654,16.916,118.215,186.483,18.239,117.424,185.569,17.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1285679,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 1,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,118.347,194.397,15,,,,,,,360,117.516,193.13,15,119.179,196.02,17.313,118.347,194.575,16.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1285680,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 1,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,114.427,194.397,15,,,,,,,360,113.595,193.13,15,115.258,196.02,17.313,114.427,194.575,16.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1285681,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 1,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,122.268,194.397,15,,,,,,,180,121.437,193.13,15,123.099,196.02,17.313,122.268,194.575,16.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1285903,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 1,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,97.095,185.725,15.164,,,,,,,360,96.304,184.654,16.916,97.887,186.483,18.239,97.095,185.569,17.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1285904,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 1,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,99.983,185.725,15.164,,,,,,,360,99.191,184.654,16.916,100.774,186.483,18.239,99.983,185.569,17.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1285905,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 1,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,102.673,185.725,15.164,,,,,,,360,101.881,184.654,16.916,103.465,186.483,18.239,102.673,185.569,17.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1285906,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 1,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,101.749,194.397,15,,,,,,,180,100.918,193.13,15,102.58,196.02,17.313,101.749,194.575,16.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1285907,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 1,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,105.67,194.397,15,,,,,,,180,104.838,193.13,15,106.501,196.02,17.313,105.67,194.575,16.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1285908,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 1,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,97.828,194.397,15,,,,,,,360,96.997,193.13,15,98.66,196.02,17.313,97.828,194.575,16.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1329686,Plumbing Fixtures,M_Sink Kitchen-Island,450 x 450mm,L 1,,,,,,,,"1' - 5 23/32""",,,5 SF,0.24 CF,"Metal - Steel, Polished",,,,,,,,,,,,,,,0,,,,,,Point,75.59,197.332,15,,,,,,,360,74.851,196.203,17.244,76.328,198.07,18.849,75.59,197.136,18.047,,"Area=5 SF | Counter Height=2' - 11 7/16"" | Fixture Material=Metal - Steel, Polished | Sink Material=Metal - Steel, Polished | Volume=0.24 CF | Width=1' - 5 23/32"""
1381622,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L -1,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,97.095,185.725,-14.836,,,,,,,0,96.304,184.654,-13.084,97.887,186.483,-11.761,97.095,185.569,-12.422,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1381623,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L -1,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,99.983,185.725,-14.836,,,,,,,0,99.191,184.654,-13.084,100.774,186.483,-11.761,99.983,185.569,-12.422,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1381624,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L -1,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,102.673,185.725,-14.836,,,,,,,0,101.881,184.654,-13.084,103.465,186.483,-11.761,102.673,185.569,-12.422,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
