ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1518324,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,75.357,197.119,0.164,,,,,,,270,74.286,196.327,1.916,76.115,197.911,3.239,75.201,197.119,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1518325,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,75.357,194.232,0.164,,,,,,,270,74.286,193.44,1.916,76.115,195.023,3.239,75.201,194.232,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1518326,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,75.357,191.541,0.164,,,,,,,270,74.286,190.75,1.916,76.115,192.333,3.239,75.201,191.541,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1518327,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,84.029,192.813,0,,,,,,,90,82.762,191.982,0,85.652,193.644,2.313,84.207,192.813,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1518328,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,84.029,189.313,0,,,,,,,90,82.762,188.482,0,85.652,190.144,2.313,84.207,189.313,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1518329,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,84.029,196.386,0,,,,,,,270,82.762,195.555,0,85.652,197.217,2.313,84.207,196.386,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1521877,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,96.723,197.104,0.164,,,,,,,270.679,95.956,196.304,1.916,97.804,197.909,3.239,96.88,197.106,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1521878,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,96.757,194.218,0.164,,,,,,,270.679,95.99,193.417,1.916,97.838,195.022,3.239,96.914,194.219,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1521879,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,96.789,191.527,0.164,,,,,,,270.679,96.022,190.727,1.916,97.87,192.332,3.239,96.946,191.529,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1521880,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,88.103,192.696,0,,,,,,,90.679,86.471,191.846,0,89.38,193.543,2.313,87.925,192.694,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
