ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Comments,Parameter Snapshot
1241457,Floors,,"Generic - 12""",L -1,,A1010,Standard Foundations,,,"1' - 0""","1' - 0""",6590 SF,6589.71 CF,,,Default Floor,,,,,,,"Area=6590 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Default Thickness=1' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 12"" | Height Offset From Level=0' - 0"" | Level=L -1 | Related to Mass=False | Thickness=1' - 0"" | Type=Generic - 12"" | Type Id=Generic - 12"" | Type IfcGUID=1xZrMVYp52mhf4uMzw11Hi | Type Mark=G01 | Type Name=Generic - 12"" | Volume=6589.71 CF"
1241717,Floors,,"Concrete 6""",L 0,,B1010,Floor Construction,,,"0' - 6""","0' - 6""",9878 SF,4939.02 CF,,,"Concrete, Cast-in-Place gray",,,,,,,"Area=9878 SF | Assembly Code=B1010 | Assembly Description=Floor Construction | Default Thickness=0' - 6"" | Export Type to IFC=0 | Family and Type=Concrete 6"" | Height Offset From Level=0' - 0"" | Level=L 0 | Related to Mass=False | Structural Material=Concrete, Cast-in-Place gray | Thermal Mass=11.2658 BTU/(ft²·°F) | Thickness=0' - 6"" | Type=Concrete 6"" | Type Id=Concrete 6"" | Type IfcGUID=308Tsr$XX9nhRZUBmRm38H | Type Mark=SF01 | Type Name=Concrete 6"" | Volume=4939.02 CF"
1241762,Floors,,"Concrete 6""",L 1,,B1010,Floor Construction,,,"0' - 6""","0' - 6""",9763 SF,4881.35 CF,,,"Concrete, Cast-in-Place gray",,,,,,,"Area=9763 SF | Assembly Code=B1010 | Assembly Description=Floor Construction | Default Thickness=0' - 6"" | Export Type to IFC=0 | Family and Type=Concrete 6"" | Height Offset From Level=0' - 0"" | Level=L 1 | Related to Mass=False | Structural Material=Concrete, Cast-in-Place gray | Thermal Mass=11.2658 BTU/(ft²·°F) | Thickness=0' - 6"" | Type=Concrete 6"" | Type Id=Concrete 6"" | Type IfcGUID=308Tsr$XX9nhRZUBmRm38H | Type Mark=SF01 | Type Name=Concrete 6"" | Volume=4881.35 CF"
1249106,Walls,,Storefront - EXTERIOR ISLAND,L 1,,B2010,Exterior Walls,"136' - 0""",,,,1628 SF,,,,,,,,"0' - 0""","0' - 0""",,"Adjust for Mullion Size=False | Area=1628 SF | Assembly Code=B2010 | Assembly Description=Exterior Walls | Base Offset=0' - 0"" | Border 1 Type=2.5"" x 5"" rectangular | Border 2 Type=2.5"" x 5"" rectangular | Export Type to IFC=0 | Family and Type=Storefront - EXTERIOR ISLAND | Interior Type=2.5"" x 5"" rectangular | Length=136' - 0"" | Offset=0' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Storefront - EXTERIOR ISLAND | Type Id=Storefront - EXTERIOR ISLAND | Type IfcGUID=21niu4ukDA1u2Qnv1EMNlF | Type Mark=CW03 | Type Name=Storefront - EXTERIOR ISLAND | Unconnected Height=12' - 0"""
1249210,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"126' - 0""","0' - 8""",,,1194 SF,796.14 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=1194 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=126' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=796.14 CF | Width=0' - 8"""
1249235,Walls,,"Generic - 8"" - EXTERIOR",L 1,,B2010,Exterior Walls,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=116 SF | Assembly Code=B2010 | Assembly Description=Exterior Walls | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - EXTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - EXTERIOR | Type Id=Generic - 8"" - EXTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijB | Type Mark=G06 | Type Name=Generic - 8"" - EXTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8"""
1249262,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,110 SF,73.40 CF,,,Default Wall,,,,"0' - 0""","-0' - 7 11/32""",,"Area=110 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=-0' - 7 11/32"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 4 21/32"" | Volume=73.40 CF | Width=0' - 8"""
1249295,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8"""
1249332,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8"""
1249372,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8"""
1249405,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8"""
