ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1525525,Plumbing Fixtures,M_Sink Kitchen-Island,450 x 450mm,L 1,,,,,,,,"1' - 5 23/32""",,,5 SF,0.24 CF,"Metal - Steel, Polished",,,,,,,,,,,,,,,0,,,,,,Point,28.175,162.38,15,,,,,,,0,27.436,161.251,17.244,28.913,163.119,18.849,28.175,162.185,18.047,,"Area=5 SF | Counter Height=2' - 11 7/16"" | Fixture Material=Metal - Steel, Polished | Sink Material=Metal - Steel, Polished | Volume=0.24 CF | Width=1' - 5 23/32"""
1708563,Plumbing Fixtures,M_Sink Kitchen-Island,450 x 450mm,L -1,,,,,,,,"1' - 5 23/32""",,,5 SF,0.24 CF,"Metal - Steel, Polished",,,,,,,,,,,,,,,0,,,,,,Point,9.661,161.615,-15,,,,,,,90,8.923,160.877,-12.708,10.791,162.354,-11.104,9.857,161.615,-11.906,,"Area=5 SF | Counter Height=3' - 0"" | Fixture Material=Metal - Steel, Polished | Sink Material=Metal - Steel, Polished | Volume=0.24 CF | Width=1' - 5 23/32"""
1967527,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,99.86,188.541,0.164,,,,,,,270,99.102,187.749,1.916,100.931,189.333,3.239,100.016,188.541,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1967528,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,99.86,185.654,0.164,,,,,,,270,99.102,184.862,1.916,100.931,186.446,3.239,100.016,185.654,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1974654,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,95.292,196.473,0,,,,,,,180,94.461,195.206,0,96.123,198.096,2.313,95.292,196.651,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1974655,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,99.125,196.473,0,,,,,,,180,98.294,195.206,0,99.957,198.096,2.313,99.125,196.651,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1974656,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,90.413,196.473,0,,,,,,,360,89.582,195.206,0,91.244,198.096,2.313,90.413,196.651,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1982029,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,77.033,188.531,0.164,,,,,,,270,75.961,187.739,1.916,77.791,189.322,3.239,76.876,188.531,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1982030,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,77.033,185.644,0.164,,,,,,,270,75.961,184.852,1.916,77.791,186.435,3.239,76.876,185.644,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1982031,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,81.6,196.463,0,,,,,,,360,80.769,195.196,0,82.432,198.086,2.313,81.6,196.641,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1982032,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,77.767,196.463,0,,,,,,,360,76.936,195.196,0,78.598,198.086,2.313,77.767,196.641,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1982033,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,86.479,196.463,0,,,,,,,180,85.648,195.196,0,87.311,198.086,2.313,86.479,196.641,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
