ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
591535,Structural Foundations,Footing-Rectangular,"4' x 4' x 12""",L 0,,A1010,,"4' - 0""","4' - 0""",,,16 SF,16.00 CF,,,"Concrete, Normal Weight - 4 ksi",,,,,,Point,124.548,256.666,-5,,,,,,,0,122.548,254.666,-6,126.548,258.666,-5,124.548,256.666,-5.5,,"Area=16 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Foundation Thickness=1' - 0"" | Height Offset From Level=-5' - 0"" | Length=4' - 0"" | Level=L 0 | Structural Material=Concrete, Normal Weight - 4 ksi | Volume=16.00 CF | Width=4' - 0"""
591536,Structural Foundations,Footing-Rectangular,"4' x 4' x 12""",L 0,,A1010,,"4' - 0""","4' - 0""",,,16 SF,16.00 CF,,,"Concrete, Normal Weight - 4 ksi",,,,,,Point,66.548,256.666,-5,,,,,,,0,64.548,254.666,-6,68.548,258.666,-5,66.548,256.666,-5.5,,"Area=16 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Foundation Thickness=1' - 0"" | Height Offset From Level=-5' - 0"" | Length=4' - 0"" | Level=L 0 | Structural Material=Concrete, Normal Weight - 4 ksi | Volume=16.00 CF | Width=4' - 0"""
591537,Structural Foundations,Footing-Rectangular,"4' x 4' x 12""",L 0,,A1010,,"4' - 0""","4' - 0""",,,16 SF,16.00 CF,,,"Concrete, Normal Weight - 4 ksi",,,,,,Point,124.548,227.666,-10,,,,,,,0,122.548,225.666,-11,126.548,229.666,-10,124.548,227.666,-10.5,,"Area=16 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Foundation Thickness=1' - 0"" | Height Offset From Level=-10' - 0"" | Length=4' - 0"" | Level=L 0 | Structural Material=Concrete, Normal Weight - 4 ksi | Volume=16.00 CF | Width=4' - 0"""
591538,Structural Foundations,Footing-Rectangular,"4' x 4' x 12""",L 0,,A1010,,"4' - 0""","4' - 0""",,,16 SF,16.00 CF,,,"Concrete, Normal Weight - 4 ksi",,,,,,Point,66.548,227.666,-10,,,,,,,0,64.548,225.666,-11,68.548,229.666,-10,66.548,227.666,-10.5,,"Area=16 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Foundation Thickness=1' - 0"" | Height Offset From Level=-10' - 0"" | Length=4' - 0"" | Level=L 0 | Structural Material=Concrete, Normal Weight - 4 ksi | Volume=16.00 CF | Width=4' - 0"""
591542,Structural Foundations,Footing-Rectangular,"4' x 4' x 12""",L -1,,A1010,,"4' - 0""","4' - 0""",,,16 SF,16.00 CF,,,"Concrete, Normal Weight - 4 ksi",,,,,,Point,37.548,198.666,-19,,,,,,,0,35.548,196.666,-20,39.548,200.666,-19,37.548,198.666,-19.5,,"Area=16 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Foundation Thickness=1' - 0"" | Height Offset From Level=-4' - 0"" | Length=4' - 0"" | Level=L -1 | Structural Material=Concrete, Normal Weight - 4 ksi | Volume=16.00 CF | Width=4' - 0"""
591543,Structural Foundations,Footing-Rectangular,"4' x 4' x 12""",L -1,,A1010,,"4' - 0""","4' - 0""",,,16 SF,16.00 CF,,,"Concrete, Normal Weight - 4 ksi",,,,,,Point,8.548,198.666,-19,,,,,,,0,6.548,196.666,-20,10.548,200.666,-19,8.548,198.666,-19.5,,"Area=16 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Foundation Thickness=1' - 0"" | Height Offset From Level=-4' - 0"" | Length=4' - 0"" | Level=L -1 | Structural Material=Concrete, Normal Weight - 4 ksi | Volume=16.00 CF | Width=4' - 0"""
591544,Structural Foundations,Footing-Rectangular,"4' x 4' x 12""",L -1,,A1010,,"4' - 0""","4' - 0""",,,16 SF,16.00 CF,,,"Concrete, Normal Weight - 4 ksi",,,,,,Point,124.548,169.666,-19,,,,,,,0,122.548,167.666,-20,126.548,171.666,-19,124.548,169.666,-19.5,,"Area=16 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Foundation Thickness=1' - 0"" | Height Offset From Level=-4' - 0"" | Length=4' - 0"" | Level=L -1 | Structural Material=Concrete, Normal Weight - 4 ksi | Volume=16.00 CF | Width=4' - 0"""
591545,Structural Foundations,Footing-Rectangular,"4' x 4' x 12""",L -1,,A1010,,"4' - 0""","4' - 0""",,,16 SF,16.00 CF,,,"Concrete, Normal Weight - 4 ksi",,,,,,Point,95.548,169.666,-19,,,,,,,0,93.548,167.666,-20,97.548,171.666,-19,95.548,169.666,-19.5,,"Area=16 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Foundation Thickness=1' - 0"" | Height Offset From Level=-4' - 0"" | Length=4' - 0"" | Level=L -1 | Structural Material=Concrete, Normal Weight - 4 ksi | Volume=16.00 CF | Width=4' - 0"""
591546,Structural Foundations,Footing-Rectangular,"4' x 4' x 12""",L -1,,A1010,,"4' - 0""","4' - 0""",,,16 SF,16.00 CF,,,"Concrete, Normal Weight - 4 ksi",,,,,,Point,66.548,169.666,-19,,,,,,,0,64.548,167.666,-20,68.548,171.666,-19,66.548,169.666,-19.5,,"Area=16 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Foundation Thickness=1' - 0"" | Height Offset From Level=-4' - 0"" | Length=4' - 0"" | Level=L -1 | Structural Material=Concrete, Normal Weight - 4 ksi | Volume=16.00 CF | Width=4' - 0"""
591548,Structural Foundations,Footing-Rectangular,"4' x 4' x 12""",L -1,,A1010,,"4' - 0""","4' - 0""",,,16 SF,16.00 CF,,,"Concrete, Normal Weight - 4 ksi",,,,,,Point,8.548,169.666,-19,,,,,,,0,6.548,167.666,-20,10.548,171.666,-19,8.548,169.666,-19.5,,"Area=16 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Foundation Thickness=1' - 0"" | Height Offset From Level=-4' - 0"" | Length=4' - 0"" | Level=L -1 | Structural Material=Concrete, Normal Weight - 4 ksi | Volume=16.00 CF | Width=4' - 0"""
591549,Structural Foundations,Footing-Rectangular,"4' x 4' x 12""",L -1,,A1010,,"4' - 0""","4' - 0""",,,16 SF,16.00 CF,,,"Concrete, Normal Weight - 4 ksi",,,,,,Point,124.548,140.666,-19,,,,,,,0,122.548,138.666,-20,126.548,142.666,-19,124.548,140.666,-19.5,,"Area=16 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Foundation Thickness=1' - 0"" | Height Offset From Level=-4' - 0"" | Length=4' - 0"" | Level=L -1 | Structural Material=Concrete, Normal Weight - 4 ksi | Volume=16.00 CF | Width=4' - 0"""
