ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
979637,Mechanical Equipment,Outdoor AHU - Horizontal,6 Square Feet of Coil,L -1,,,,,0,,,,,,169 SF,171.64 CF,,,,,,,,,,,,208 V,,4701 VA,,9,33.636,,1.5,44,42,Point,100.113,201.85,-15,,,,,,,0,99.946,199.933,-15,113.78,203.933,-11.583,106.863,201.933,-13.292,,"AHU Height=3' - 3"" | AHU Width=3' - 10"" | Airway Length=13' - 6"" | Apparent Load=4701 VA | Area=169 SF | Chilled Water Flow=43 GPM | Chilled Water Pressure Drop=2.89 psi | Cooling Coil Inlet Radius=3/4"" | Cooling Coil Outlet Radius=3/4"" | Drain Radius=5/8"" | External Total Pressure=2.89 in-wg | Heating Coil Inlet Radius=3/4"" | Heating Coil Outlet Radius=3/4"" | Hot Water Flow=25 GPM | Hot Water Pressure Drop=1.80 psi | Load Classification=Cooling | Return Air Inlet Flow=1699 m³/h | Return Air Inlet Height=16"" | Return Air Inlet Width=42"" | Supply Air Inlet Flow=3398 m³/h | Supply Air Inlet Height=16"" | Supply Air Inlet Width=42"" | Supply Air Outlet Flow=5097 m³/h | Supply Air Outlet Height=37"" | Supply Air Outlet Width=44"" | Voltage=208 V | Volume=171.64 CF"
979662,Air Terminals,Supply Diffuser,12x12 Connection 2,L -1,,Mechanical Supply Air 1,Supply Air,,,"6""x6""",,"6""","6""",,1 SF,0.19 CF,,,,,,320 m³/h,320 m³/h,0.00 in-wg,,,,,,,,1,3.139,,,6,6,Point,62.115,155.896,-2.5,,,,,,,0,60.465,154.246,-2.5,63.765,157.546,-2.167,62.115,155.896,-2.333,,"Area=1 SF | Diffuser Height=1' - 0"" | Diffuser Width=1' - 0"" | Duct Height=6"" | Duct Width=6"" | Flow=320 m³/h | Pressure Drop=0.00 in-wg | Size=6""x6"" | Volume=0.19 CF | Width 1=0' - 7 13/16"""
979708,Air Terminals,Exhaust Grill,6x6 Connection 3,L -1,,Mechanical Exhaust Air 1,Exhaust Air,,,"3""x3""",,"3""","3""",,1 SF,0.07 CF,,,,,,50 m³/h,50 m³/h,0.06 in-wg,,,,,,,,1,0.49,,,3,3,Point,97.828,193.397,-2.5,,,,,,,0,96.728,192.297,-2.5,98.928,194.497,-2.167,97.828,193.397,-2.333,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=3"" | Duct Width=3"" | Flow=50 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.07 CF | Width 1=0' - 5 3/16"""
979713,Air Terminals,Exhaust Grill,6x6 Connection 3,L -1,,Mechanical Exhaust Air 1,Exhaust Air,,,"3""x3""",,"3""","3""",,1 SF,0.07 CF,,,,,,50 m³/h,50 m³/h,0.06 in-wg,,,,,,,,1,0.49,,,3,3,Point,101.749,193.397,-2.5,,,,,,,0,100.649,192.297,-2.5,102.849,194.497,-2.167,101.749,193.397,-2.333,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=3"" | Duct Width=3"" | Flow=50 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.07 CF | Width 1=0' - 5 3/16"""
979720,Air Terminals,Exhaust Grill,6x6 Connection 3,L -1,,Mechanical Exhaust Air 1,Exhaust Air,,,"3""x3""",,"3""","3""",,1 SF,0.07 CF,,,,,,50 m³/h,50 m³/h,0.06 in-wg,,,,,,,,1,0.49,,,3,3,Point,105.67,193.397,-2.5,,,,,,,0,104.57,192.297,-2.5,106.77,194.497,-2.167,105.67,193.397,-2.333,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=3"" | Duct Width=3"" | Flow=50 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.07 CF | Width 1=0' - 5 3/16"""
979727,Air Terminals,Exhaust Grill,6x6 Connection 3,L -1,,Mechanical Exhaust Air 2,Exhaust Air,,,"3""x3""",,"3""","3""",,1 SF,0.07 CF,,,,,,50 m³/h,50 m³/h,0.06 in-wg,,,,,,,,1,0.49,,,3,3,Point,114.427,193.397,-2.5,,,,,,,0,113.327,192.297,-2.5,115.527,194.497,-2.167,114.427,193.397,-2.333,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=3"" | Duct Width=3"" | Flow=50 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.07 CF | Width 1=0' - 5 3/16"""
979734,Air Terminals,Exhaust Grill,6x6 Connection 3,L -1,,Mechanical Exhaust Air 2,Exhaust Air,,,"3""x3""",,"3""","3""",,1 SF,0.07 CF,,,,,,50 m³/h,50 m³/h,0.06 in-wg,,,,,,,,1,0.49,,,3,3,Point,118.347,193.397,-2.5,,,,,,,0,117.247,192.297,-2.5,119.447,194.497,-2.167,118.347,193.397,-2.333,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=3"" | Duct Width=3"" | Flow=50 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.07 CF | Width 1=0' - 5 3/16"""
979741,Air Terminals,Exhaust Grill,6x6 Connection 3,L -1,,Mechanical Exhaust Air 2,Exhaust Air,,,"3""x3""",,"3""","3""",,1 SF,0.07 CF,,,,,,50 m³/h,50 m³/h,0.06 in-wg,,,,,,,,1,0.49,,,3,3,Point,122.268,193.397,-2.5,,,,,,,0,121.168,192.297,-2.5,123.368,194.497,-2.167,122.268,193.397,-2.333,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=3"" | Duct Width=3"" | Flow=50 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.07 CF | Width 1=0' - 5 3/16"""
979763,Ducts,,Mitered Elbows / Tees,L -1,,Mechanical Supply Air 1,Supply Air,,,"7""x7""",,"7""","7""","9' - 4 31/32""",22 SF,,,,,"0""","0""",320 m³/h,320 m³/h,0.01 in-wg,,,,,,,,2,6.278,,,7,7,Curve,62.115,165.174,-1.5,62.115,160.467,-1.5,62.115,169.881,-1.5,,61.823,160.467,-1.792,62.407,169.881,-1.208,62.115,165.174,-1.5,,"Additional Flow=0 m³/h | Area=22 SF | Flow=320 m³/h | Free Size=7""x7"" | Height=7"" | Hydraulic Diameter=7"" | Insulation Thickness=0"" | Length=9' - 4 31/32"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=13' - 2 1/2"" | Lower End Top of Insulation Elevation=13' - 9 1/2"" | Overall Size=7""x7"" | Pressure Drop=0.01 in-wg | Size=7""x7"" | Size Lock=False | Upper End Bottom of Insulation Elevation=13' - 2 1/2"" | Upper End Top of Insulation Elevation=13' - 9 1/2"" | Velocity Pressure=0.02 in-wg | Width=7"""
979913,Flex Ducts,,Flex - Round,L -1,,Mechanical Supply Air 1,Supply Air,,,"8""ø","8""",,,"4' - 11 1/4""",,,,,,"0""","0""",320 m³/h,320 m³/h,0.00 in-wg,,,,,,,,2,6.278,,8,,,Curve,62.115,158.131,-1.733,62.115,160.367,-1.5,62.115,155.896,-1.965,,61.782,155.563,-1.965,62.448,160.367,-0.824,62.115,157.965,-1.395,,"Additional Flow=0 m³/h | Diameter=8"" | Flow=320 m³/h | Free Size=8""ø | Hydraulic Diameter=8"" | Insulation Thickness=0"" | Length=4' - 11 1/4"" | Lining Thickness=0"" | Overall Size=8""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.02 in-wg"
