ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Comments,Parameter Snapshot
980848,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
980996,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981011,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981026,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981043,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981060,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981077,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981092,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981113,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981130,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981147,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981164,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981179,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981196,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981234,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981249,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981264,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981281,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981298,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981315,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981535,Air Terminals,Supply Diffuser,6x6 Connection 3,L 1,,Mechanical Supply Air 1,Supply Air,,,"3""x3""",,"3""","3""",,1 SF,0.06 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1,0.294,,,3,3,,"Area=1 SF | Diffuser Height=0' - 7"" | Diffuser Width=0' - 7"" | Duct Height=3"" | Duct Width=3"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.06 CF | Width 1=0' - 4 9/16"""
981860,Air Terminals,Exhaust Grill,6x6 Connection 3,L 1,,Mechanical Exhaust Air 1,Exhaust Air,,,"3""x3""",,"3""","3""",,1 SF,0.07 CF,,,,,,50 m³/h,50 m³/h,0.06 in-wg,,,,,,,,1,0.49,,,3,3,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=3"" | Duct Width=3"" | Flow=50 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.07 CF | Width 1=0' - 5 3/16"""
981861,Air Terminals,Exhaust Grill,6x6 Connection 3,L 1,,Mechanical Exhaust Air 1,Exhaust Air,,,"3""x3""",,"3""","3""",,1 SF,0.07 CF,,,,,,50 m³/h,50 m³/h,0.06 in-wg,,,,,,,,1,0.49,,,3,3,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=3"" | Duct Width=3"" | Flow=50 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.07 CF | Width 1=0' - 5 3/16"""
981862,Air Terminals,Exhaust Grill,6x6 Connection 3,L 1,,Mechanical Exhaust Air 1,Exhaust Air,,,"3""x3""",,"3""","3""",,1 SF,0.07 CF,,,,,,50 m³/h,50 m³/h,0.06 in-wg,,,,,,,,1,0.49,,,3,3,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=3"" | Duct Width=3"" | Flow=50 m³/h | Pressure Drop=0.06 in-wg | Size=3""x3"" | Volume=0.07 CF | Width 1=0' - 5 3/16"""
