ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
617799,Walls,,"Retaining - 6"" Concrete",L -1,,,,"58' - 0""","0' - 6""",,,1102 SF,551.00 CF,,,"Concrete, Normal Weight - 4 ksi",,,,"-4' - 0""","15' - 0""",Curve,95.548,200.666,-15,124.548,200.666,-15,66.548,200.666,-15,,66.548,200.416,-19,124.548,200.916,0,95.548,200.666,-9.5,,"Area=1102 SF | Base Offset=-4' - 0"" | Export Type to IFC=0 | Family and Type=Retaining - 6"" Concrete | Length=58' - 0"" | Related to Mass=False | Structural Material=Concrete, Normal Weight - 4 ksi | Thermal Mass=11.2658 BTU/(ft²·°F) | Top Offset=15' - 0"" | Type=Retaining - 6"" Concrete | Type Id=Retaining - 6"" Concrete | Type IfcGUID=0PvVYQeMPCh9969L8rHYAV | Type Name=Retaining - 6"" Concrete | Unconnected Height=19' - 0"" | Volume=551.00 CF | Width=0' - 6"""
626606,Walls,,"Bamboo- 8""",L 0,,B10,Superstructure,"10' - 0""","0' - 8""",,,265 SF,176.67 CF,,,Structural Bamboo (CLB),,,,"0' - 0""","-3' - 0""",Curve,118.361,256.895,0,123.361,256.895,0,113.361,256.895,0,,113.361,256.562,0,123.361,257.229,27,118.361,256.895,13.5,,"Area=265 SF | Assembly Code=B10 | Assembly Description=Superstructure | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Bamboo- 8"" | Length=10' - 0"" | Related to Mass=False | Structural Material=Structural Bamboo (CLB) | Thermal Mass=0.9368 BTU/(ft²·°F) | Top Offset=-3' - 0"" | Type=Bamboo- 8"" | Type Id=Bamboo- 8"" | Type IfcGUID=2h6WZCO7jEQ8vSVuobBY_U | Type Name=Bamboo- 8"" | Unconnected Height=27' - 0"" | Volume=176.67 CF | Width=0' - 8"""
626730,Walls,,"Bamboo- 8""",L 0,,B10,Superstructure,"10' - 0""","0' - 8""",,,265 SF,176.67 CF,,,Structural Bamboo (CLB),,,,"0' - 0""","0' - 0""",Curve,124.777,247.166,0,124.777,242.166,0,124.777,252.166,0,,124.444,242.166,0,125.111,252.166,27,124.777,247.166,13.5,,"Area=265 SF | Assembly Code=B10 | Assembly Description=Superstructure | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Bamboo- 8"" | Length=10' - 0"" | Related to Mass=False | Structural Material=Structural Bamboo (CLB) | Thermal Mass=0.9368 BTU/(ft²·°F) | Top Offset=0' - 0"" | Type=Bamboo- 8"" | Type Id=Bamboo- 8"" | Type IfcGUID=2h6WZCO7jEQ8vSVuobBY_U | Type Name=Bamboo- 8"" | Unconnected Height=27' - 0"" | Volume=176.67 CF | Width=0' - 8"""
626864,Walls,,"Bamboo- 8""",L 0,,B10,Superstructure,"10' - 0""","0' - 8""",,,265 SF,176.67 CF,,,Structural Bamboo (CLB),,,,"0' - 0""","-3' - 0""",Curve,72.965,256.895,0,67.965,256.895,0,77.965,256.895,0,,67.965,256.562,0,77.965,257.229,27,72.965,256.895,13.5,,"Area=265 SF | Assembly Code=B10 | Assembly Description=Superstructure | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Bamboo- 8"" | Length=10' - 0"" | Related to Mass=False | Structural Material=Structural Bamboo (CLB) | Thermal Mass=0.9368 BTU/(ft²·°F) | Top Offset=-3' - 0"" | Type=Bamboo- 8"" | Type Id=Bamboo- 8"" | Type IfcGUID=2h6WZCO7jEQ8vSVuobBY_U | Type Name=Bamboo- 8"" | Unconnected Height=27' - 0"" | Volume=176.67 CF | Width=0' - 8"""
627014,Walls,,"Bamboo- 8""",L 0,,B10,Superstructure,"10' - 0""","0' - 8""",,,265 SF,176.67 CF,,,Structural Bamboo (CLB),,,,"0' - 0""","0' - 0""",Curve,66.548,247.166,0,66.548,242.166,0,66.548,252.166,0,,66.215,242.166,0,66.882,252.166,30,66.548,247.166,15,,"Area=265 SF | Assembly Code=B10 | Assembly Description=Superstructure | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Bamboo- 8"" | Length=10' - 0"" | Related to Mass=False | Structural Material=Structural Bamboo (CLB) | Thermal Mass=0.9368 BTU/(ft²·°F) | Top Offset=0' - 0"" | Type=Bamboo- 8"" | Type Id=Bamboo- 8"" | Type IfcGUID=2h6WZCO7jEQ8vSVuobBY_U | Type Name=Bamboo- 8"" | Unconnected Height=30' - 0"" | Volume=176.67 CF | Width=0' - 8"""
627659,Walls,,"Bamboo- 8""",L -1,,B10,Superstructure,"13' - 0""","0' - 8""",,,546 SF,364.00 CF,,,Structural Bamboo (CLB),,,,"0' - 0""","-3' - 0""",Curve,124.777,190.749,-15,124.777,197.249,-15,124.777,184.249,-15,,124.444,184.249,-15,125.111,197.249,27,124.777,190.749,6,,"Area=546 SF | Assembly Code=B10 | Assembly Description=Superstructure | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Bamboo- 8"" | Length=13' - 0"" | Related to Mass=False | Structural Material=Structural Bamboo (CLB) | Thermal Mass=0.9368 BTU/(ft²·°F) | Top Offset=-3' - 0"" | Type=Bamboo- 8"" | Type Id=Bamboo- 8"" | Type IfcGUID=2h6WZCO7jEQ8vSVuobBY_U | Type Name=Bamboo- 8"" | Unconnected Height=42' - 0"" | Volume=364.00 CF | Width=0' - 8"""
628147,Walls,,"Bamboo- 8""",L -1,,B10,Superstructure,"10' - 0""","0' - 8""",,,420 SF,280.00 CF,,,Structural Bamboo (CLB),,,,"0' - 0""","-3' - 0""",Curve,27.931,174.427,-15,32.931,174.427,-15,22.931,174.427,-15,,22.931,174.093,-15,32.931,174.76,27,27.931,174.427,6,,"Area=420 SF | Assembly Code=B10 | Assembly Description=Superstructure | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Bamboo- 8"" | Length=10' - 0"" | Related to Mass=False | Structural Material=Structural Bamboo (CLB) | Thermal Mass=0.9368 BTU/(ft²·°F) | Top Offset=-3' - 0"" | Type=Bamboo- 8"" | Type Id=Bamboo- 8"" | Type IfcGUID=2h6WZCO7jEQ8vSVuobBY_U | Type Name=Bamboo- 8"" | Unconnected Height=42' - 0"" | Volume=280.00 CF | Width=0' - 8"""
628386,Walls,,"Bamboo- 8""",L -1,,B10,Superstructure,"10' - 0""","0' - 8""",,,420 SF,280.00 CF,,,Structural Bamboo (CLB),,,,"0' - 0""","-3' - 0""",Curve,116.548,198.895,-15,121.548,198.895,-15,111.548,198.895,-15,,111.548,198.562,-15,121.548,199.229,27,116.548,198.895,6,,"Area=420 SF | Assembly Code=B10 | Assembly Description=Superstructure | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Bamboo- 8"" | Length=10' - 0"" | Related to Mass=False | Structural Material=Structural Bamboo (CLB) | Thermal Mass=0.9368 BTU/(ft²·°F) | Top Offset=-3' - 0"" | Type=Bamboo- 8"" | Type Id=Bamboo- 8"" | Type IfcGUID=2h6WZCO7jEQ8vSVuobBY_U | Type Name=Bamboo- 8"" | Unconnected Height=42' - 0"" | Volume=280.00 CF | Width=0' - 8"""
628399,Walls,,"Bamboo- 8""",L -1,,B10,Superstructure,"10' - 0""","0' - 8""",,,415 SF,276.67 CF,,,Structural Bamboo (CLB),,,,"0' - 0""","0' - 0""",Curve,88.298,198.895,-15,83.298,198.895,-15,93.298,198.895,-15,,83.298,198.562,-15,93.298,199.229,30,88.298,198.895,7.5,,"Area=415 SF | Assembly Code=B10 | Assembly Description=Superstructure | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Bamboo- 8"" | Length=10' - 0"" | Related to Mass=False | Structural Material=Structural Bamboo (CLB) | Thermal Mass=0.9368 BTU/(ft²·°F) | Top Offset=0' - 0"" | Type=Bamboo- 8"" | Type Id=Bamboo- 8"" | Type IfcGUID=2h6WZCO7jEQ8vSVuobBY_U | Type Name=Bamboo- 8"" | Unconnected Height=45' - 0"" | Volume=276.67 CF | Width=0' - 8"""
628402,Walls,,"Bamboo- 8""",L -1,,B10,Superstructure,"10' - 0""","0' - 8""",,,415 SF,276.67 CF,,,Structural Bamboo (CLB),,,,"0' - 0""","-3' - 0""",Curve,14.882,168.615,-15,14.882,173.615,-15,14.882,163.615,-15,,14.549,163.615,-15,15.215,173.615,27,14.882,168.615,6,,"Area=415 SF | Assembly Code=B10 | Assembly Description=Superstructure | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Bamboo- 8"" | Length=10' - 0"" | Related to Mass=False | Structural Material=Structural Bamboo (CLB) | Thermal Mass=0.9368 BTU/(ft²·°F) | Top Offset=-3' - 0"" | Type=Bamboo- 8"" | Type Id=Bamboo- 8"" | Type IfcGUID=2h6WZCO7jEQ8vSVuobBY_U | Type Name=Bamboo- 8"" | Unconnected Height=42' - 0"" | Volume=276.67 CF | Width=0' - 8"""
631022,Floors,,"Bamboo - 6""",Roof,,B1010,Floor Construction,,,"0' - 6""","0' - 6""",13335 SF,6667.40 CF,,,Structural Bamboo (CLB),,,,,,BoundingBox,66.548,196.756,26.75,,,,,,,,-1.452,130.687,26.5,134.548,262.826,27,66.548,196.756,26.75,,"Area=13335 SF | Assembly Code=B1010 | Assembly Description=Floor Construction | Core Thickness=0' - 6"" | Default Thickness=0' - 6"" | Export Type to IFC=0 | Family and Type=Bamboo - 6"" | Height Offset From Level=-3' - 0"" | Level=Roof | Related to Mass=False | Structural Material=Structural Bamboo (CLB) | Thermal Mass=0.7026 BTU/(ft²·°F) | Thickness=0' - 6"" | Type=Bamboo - 6"" | Type Id=Bamboo - 6"" | Type IfcGUID=1dnepEpzrDAOcvhZsBfJ7q | Type Name=Bamboo - 6"" | Volume=6667.40 CF"
642502,Walls,,"Bamboo- 8""",L -1,,B10,Superstructure,"13' - 4""","0' - 8""",,,560 SF,373.33 CF,,,Structural Bamboo (CLB),,,,"0' - 0""","-3' - 0""",Curve,101.419,192.333,-15,101.419,198.999,-15,101.419,185.666,-15,,101.086,185.666,-15,101.752,198.999,27,101.419,192.333,6,,"Area=560 SF | Assembly Code=B10 | Assembly Description=Superstructure | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Bamboo- 8"" | Length=13' - 4"" | Related to Mass=False | Structural Material=Structural Bamboo (CLB) | Thermal Mass=0.9368 BTU/(ft²·°F) | Top Offset=-3' - 0"" | Type=Bamboo- 8"" | Type Id=Bamboo- 8"" | Type IfcGUID=2h6WZCO7jEQ8vSVuobBY_U | Type Name=Bamboo- 8"" | Unconnected Height=42' - 0"" | Volume=373.33 CF | Width=0' - 8"""
