ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
581885,Structural Columns,Concrete-Rectangular-Column,18x18,L -1,,A1010,,,,,,,42.75 CF,,,"Concrete, Cast-in-Place gray",,L -1,L 0,"-4' - 0""","0' - 0""",Point,124.548,256.666,0,,,,,,,0,123.798,255.916,-19,125.298,257.416,0,124.548,256.666,-9.5,,"Assembly Code=A1010 | Assembly Description=Standard Foundations | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=J-10 | Level=L -1 | Structural Material=Concrete, Cast-in-Place gray | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=42.75 CF"
581887,Structural Columns,Concrete-Rectangular-Column,18x18,L -1,,A1010,,,,,,,42.75 CF,,,"Concrete, Cast-in-Place gray",,L -1,L 0,"-4' - 0""","0' - 0""",Point,66.548,256.666,0,,,,,,,0,65.798,255.916,-19,67.298,257.416,0,66.548,256.666,-9.5,,"Assembly Code=A1010 | Assembly Description=Standard Foundations | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=F-10 | Level=L -1 | Structural Material=Concrete, Cast-in-Place gray | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=42.75 CF"
581899,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,,,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",Point,37.548,198.666,0,,,,,,,0,36.819,197.937,-19,38.277,199.395,0,37.548,198.666,-9.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=D-6 | Level=L -1 | Structural Material=Softwood, Lumber | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=40.41 CF"
581900,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,,,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",Point,8.548,198.666,0,,,,,,,0,7.819,197.937,-19,9.277,199.395,0,8.548,198.666,-9.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=B-6 | Level=L -1 | Structural Material=Softwood, Lumber | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=40.41 CF"
581901,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,,,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",Point,124.548,169.666,0,,,,,,,0,123.819,168.937,-19,125.277,170.395,0,124.548,169.666,-9.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=J-4 | Level=L -1 | Structural Material=Softwood, Lumber | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=40.41 CF"
581902,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,,,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",Point,95.548,169.666,0,,,,,,,0,94.819,168.937,-19,96.277,170.395,0,95.548,169.666,-9.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=H-4 | Level=L -1 | Structural Material=Softwood, Lumber | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=40.41 CF"
581903,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,,,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",Point,66.548,169.666,0,,,,,,,0,65.819,168.937,-19,67.277,170.395,0,66.548,169.666,-9.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=F-4 | Level=L -1 | Structural Material=Softwood, Lumber | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=40.41 CF"
581904,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,,,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",Point,37.548,169.666,0,,,,,,,0,36.819,168.937,-19,38.277,170.395,0,37.548,169.666,-9.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=D-4 | Level=L -1 | Structural Material=Softwood, Lumber | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=40.41 CF"
581905,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,,,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",Point,8.548,169.666,0,,,,,,,0,7.819,168.937,-19,9.277,170.395,0,8.548,169.666,-9.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=B-4 | Level=L -1 | Structural Material=Softwood, Lumber | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=40.41 CF"
581906,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,,,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",Point,124.548,140.666,0,,,,,,,0,123.819,139.937,-19,125.277,141.395,0,124.548,140.666,-9.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=J-2 | Level=L -1 | Structural Material=Softwood, Lumber | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=40.41 CF"
